MeterID,Zone,ConsumerType,Date,EnergyConsumed_kWh,PeakUsage_kWh,OutageMinutes,MeterStatus,TariffRate
200039,West,Residential,2023-01-02 14:00:00,10.97,6.3,0,Active,4.93
200040,West,Industrial,2023-01-02 15:00:00,13.12,7.7,5,Active,6.53
200041,West,Residential,2023-01-02 16:00:00,17.64,10.02,0,Active,10.04
200042,Central,Residential,2023-01-02 17:00:00,13.47,10.05,5,Active,7.03
200043,South,Residential,2023-01-02 18:00:00,20.13,5.86,0,Active,9.9
200044,East,Commercial,2023-01-02 19:00:00,14.21,1.94,60,Active,7.25
200045,North,Residential,2023-01-02 20:00:00,12.37,3.02,10,Active,8.5
200046,West,Residential,2023-01-02 21:00:00,7.62,7.0,0,Active,9.49
200047,North,Commercial,2023-01-02 22:00:00,22.06,2.24,15,Active,6.15
200048,West,Residential,2023-01-02 23:00:00,23.16,9.14,0,Active,4.62
200049,East,Residential,2023-01-03 00:00:00,21.95,3.76,0,Active,8.08
200050,South,Industrial,2023-01-03 01:00:00,32.41,3.64,60,Active,7.76
200051,East,Industrial,2023-01-03 02:00:00,25.45,9.26,0,Active,8.3
200052,East,Residential,2023-01-03 03:00:00,16.7,8.74,60,Active,6.43
200053,East,Commercial,2023-01-03 04:00:00,5.31,3.64,0,Active,8.39
200054,South,Commercial,2023-01-03 05:00:00,10.7,2.04,30,Active,4.81
200055,East,Residential,2023-01-03 06:00:00,26.14,6.48,60,Active,10.3
200056,East,Residential,2023-01-03 07:00:00,6.64,4.82,15,Active,8.84
200057,West,Residential,2023-01-03 08:00:00,17.95,7.27,30,Active,5.7
200058,East,Industrial,2023-01-03 09:00:00,19.41,8.97,0,Active,7.68
200059,South,Industrial,2023-01-03 10:00:00,19.95,7.03,0,Active,9.75
200060,East,Residential,2023-01-03 11:00:00,13.71,10.48,0,Active,4.53
200061,South,Industrial,2023-01-03 12:00:00,21.52,6.4,0,Active,5.81
200062,South,Residential,2023-01-03 13:00:00,6.73,1.58,10,Active,8.57
200063,South,Residential,2023-01-03 14:00:00,7.4,8.25,60,Active,9.26
200064,Central,Residential,2023-01-03 15:00:00,8.18,9.11,15,Active,6.15
200065,East,Residential,2023-01-03 16:00:00,20.78,3.85,60,Active,9.24
200066,Central,Residential,2023-01-03 17:00:00,14.97,3.56,0,Active,8.55
200067,Central,Industrial,2023-01-03 18:00:00,27.33,8.8,0,Active,4.79
200068,East,Industrial,2023-01-03 19:00:00,15.35,10.55,10,Active,5.38
200069,East,Commercial,2023-01-03 20:00:00,5.08,5.44,0,Active,6.51
200070,Central,Residential,2023-01-03 21:00:00,17.43,8.54,30,Active,10.24
200071,North,Residential,2023-01-03 22:00:00,20.38,11.0,10,Active,4.52
200072,West,Industrial,2023-01-03 23:00:00,10.64,3.28,0,Active,5.91
200073,East,Commercial,2023-01-04 00:00:00,12.62,6.56,0,Active,8.22
200074,South,Commercial,2023-01-04 01:00:00,32.53,4.23,10,Active,10.23
200075,South,Residential,2023-01-04 02:00:00,8.46,5.6,0,Active,10.24
200076,West,Industrial,2023-01-04 03:00:00,12.35,3.51,10,Active,10.18
200077,East,Residential,2023-01-04 04:00:00,20.15,7.89,10,Active,9.37
200078,West,Residential,2023-01-04 05:00:00,12.76,1.34,0,Faulty,8.72
200079,West,Residential,2023-01-04 06:00:00,12.36,6.94,30,Active,5.55
200080,West,Industrial,2023-01-04 07:00:00,17.86,7.77,0,Active,9.54
200081,East,Industrial,2023-01-04 08:00:00,10.07,1.0,0,Active,7.97
200082,East,Residential,2023-01-04 09:00:00,12.29,11.28,15,Active,5.63
200083,North,Commercial,2023-01-04 10:00:00,9.41,2.02,0,Faulty,8.92
200084,West,Industrial,2023-01-04 11:00:00,25.51,4.72,15,Active,10.32
200085,East,Industrial,2023-01-04 12:00:00,6.84,6.34,15,Active,6.1
200086,North,Residential,2023-01-04 13:00:00,26.11,10.14,0,Active,5.88
200087,Central,Residential,2023-01-04 14:00:00,10.99,7.79,0,Active,9.14
200088,Central,Residential,2023-01-04 15:00:00,13.52,3.06,0,Active,9.76
200089,East,Residential,2023-01-04 16:00:00,30.51,8.68,0,Active,9.14
200090,Central,Residential,2023-01-04 17:00:00,4.43,3.17,0,Active,7.03
200091,East,Residential,2023-01-04 18:00:00,12.69,5.6,0,Active,6.87
200092,West,Residential,2023-01-04 19:00:00,29.0,8.13,30,Active,6.68
200093,West,Industrial,2023-01-04 20:00:00,18.98,2.93,60,Active,9.83
200094,North,Commercial,2023-01-04 21:00:00,3.48,10.26,30,Faulty,8.35
200095,West,Residential,2023-01-04 22:00:00,24.35,10.29,0,Active,8.68
200096,East,Residential,2023-01-04 23:00:00,24.6,5.55,0,Active,8.48
200097,South,Commercial,2023-01-05 00:00:00,18.28,5.98,0,Active,8.7
200098,Central,Residential,2023-01-05 01:00:00,13.87,4.95,0,Active,7.36
200099,West,Residential,2023-01-05 02:00:00,21.35,2.85,30,Active,9.23
200100,West,Residential,2023-01-05 03:00:00,18.91,11.35,60,Active,6.0
200101,South,Industrial,2023-01-05 04:00:00,14.61,5.31,10,Active,9.21
200102,South,Residential,2023-01-05 05:00:00,8.87,9.39,15,Active,5.69
200103,Central,Residential,2023-01-05 06:00:00,10.5,5.3,10,Active,4.76
200104,North,Commercial,2023-01-05 07:00:00,10.83,2.82,30,Active,7.0
200105,West,Residential,2023-01-05 08:00:00,5.39,11.12,5,Active,7.13
200106,Central,Residential,2023-01-05 09:00:00,14.81,8.86,60,Active,7.85
200107,West,Industrial,2023-01-05 10:00:00,17.66,8.74,60,Active,4.93
200108,North,Industrial,2023-01-05 11:00:00,13.19,7.87,5,Active,4.59
200109,Central,Residential,2023-01-05 12:00:00,6.2,8.96,5,Active,8.9
200110,East,Residential,2023-01-05 13:00:00,7.09,10.01,10,Active,10.24
200111,Central,Industrial,2023-01-05 14:00:00,14.67,3.22,10,Active,6.35
200112,West,Residential,2023-01-05 15:00:00,8.5,8.59,15,Active,9.23
200113,South,Commercial,2023-01-05 16:00:00,6.37,9.15,30,Active,9.99
200114,Central,Residential,2023-01-05 17:00:00,24.59,7.77,0,Active,6.56
200115,South,Residential,2023-01-05 18:00:00,6.05,10.49,15,Active,5.0
200116,South,Residential,2023-01-05 19:00:00,19.66,3.97,0,Active,9.82
200117,West,Residential,2023-01-05 20:00:00,11.25,7.21,10,Active,8.14
200118,South,Commercial,2023-01-05 21:00:00,22.89,10.75,0,Faulty,7.79
200119,North,Industrial,2023-01-05 22:00:00,11.87,2.3,15,Active,5.35
200120,West,Residential,2023-01-05 23:00:00,20.99,7.56,0,Active,5.18
200121,South,Residential,2023-01-06 00:00:00,29.04,10.49,0,Active,4.68
200122,West,Commercial,2023-01-06 01:00:00,5.83,11.12,60,Active,7.74
200123,East,Commercial,2023-01-06 02:00:00,30.62,9.86,5,Active,6.78
200124,West,Commercial,2023-01-06 03:00:00,18.87,3.24,30,Active,5.41
200125,South,Commercial,2023-01-06 04:00:00,13.23,5.55,0,Active,7.43
200126,East,Residential,2023-01-06 05:00:00,13.86,8.3,15,Active,5.21
200127,North,Commercial,2023-01-06 06:00:00,8.58,6.22,30,Active,6.68
200128,South,Residential,2023-01-06 07:00:00,17.1,9.7,0,Active,9.31
200129,East,Commercial,2023-01-06 08:00:00,16.36,5.11,5,Active,9.8
200130,West,Residential,2023-01-06 09:00:00,24.23,5.97,60,Active,8.06
200131,North,Residential,2023-01-06 10:00:00,21.4,11.01,0,Active,4.68
200132,East,Commercial,2023-01-06 11:00:00,13.58,4.16,0,Active,5.76
200133,South,Residential,2023-01-06 12:00:00,32.99,6.35,0,Active,5.28
200134,West,Residential,2023-01-06 13:00:00,12.25,2.8,0,Active,8.25
200135,West,Commercial,2023-01-06 14:00:00,24.24,11.47,0,Active,9.48
200136,West,Commercial,2023-01-06 15:00:00,9.5,7.32,15,Active,8.02
200137,Central,Residential,2023-01-06 16:00:00,44.94,10.19,60,Active,9.19
200138,South,Industrial,2023-01-06 17:00:00,12.65,1.42,30,Active,9.61
200139,East,Residential,2023-01-06 18:00:00,16.64,7.99,0,Active,10.31
200140,East,Residential,2023-01-06 19:00:00,44.63,11.58,60,Active,7.55
200141,Central,Commercial,2023-01-06 20:00:00,8.41,8.63,10,Active,4.97
200142,West,Industrial,2023-01-06 21:00:00,15.02,10.14,10,Faulty,6.46
200143,North,Residential,2023-01-06 22:00:00,23.79,1.85,0,Active,6.88
200144,East,Residential,2023-01-06 23:00:00,7.27,3.87,30,Active,8.52
200145,North,Commercial,2023-01-07 00:00:00,8.33,4.85,5,Active,4.86
200146,South,Commercial,2023-01-07 01:00:00,15.96,6.38,5,Active,7.94
200147,North,Residential,2023-01-07 02:00:00,9.81,1.86,0,Active,8.67
200148,West,Industrial,2023-01-07 03:00:00,26.63,7.1,15,Active,6.54
200149,East,Industrial,2023-01-07 04:00:00,14.73,7.3,0,Active,6.27
200150,South,Residential,2023-01-07 05:00:00,12.54,11.02,0,Active,10.26
200151,Central,Residential,2023-01-07 06:00:00,21.93,1.14,10,Active,8.44
200152,North,Residential,2023-01-07 07:00:00,11.23,3.05,0,Active,7.21
200153,Central,Residential,2023-01-07 08:00:00,25.62,2.47,0,Active,5.24
200154,North,Residential,2023-01-07 09:00:00,14.81,8.85,10,Active,8.51
200155,Central,Residential,2023-01-07 10:00:00,23.27,6.46,5,Active,6.82
200156,South,Commercial,2023-01-07 11:00:00,9.73,11.73,5,Active,4.67
200157,South,Residential,2023-01-07 12:00:00,5.95,2.95,0,Active,4.57
200158,East,Industrial,2023-01-07 13:00:00,7.28,1.54,0,Active,6.67
200159,South,Commercial,2023-01-07 14:00:00,22.54,5.58,10,Active,10.0
200160,North,Residential,2023-01-07 15:00:00,16.42,5.63,15,Active,5.0
200161,North,Residential,2023-01-07 16:00:00,23.23,6.96,30,Active,9.96
200162,South,Residential,2023-01-07 17:00:00,7.07,3.84,30,Active,6.34
200163,South,Residential,2023-01-07 18:00:00,7.0,11.96,0,Active,9.77
200164,South,Commercial,2023-01-07 19:00:00,13.42,8.79,60,Active,6.99
200165,East,Residential,2023-01-07 20:00:00,6.14,7.17,5,Active,6.39
200166,Central,Commercial,2023-01-07 21:00:00,9.94,11.75,5,Active,4.84
200167,North,Residential,2023-01-07 22:00:00,34.11,9.31,15,Active,5.09
200168,Central,Commercial,2023-01-07 23:00:00,26.5,9.37,30,Active,8.3
200169,Central,Industrial,2023-01-08 00:00:00,13.67,1.45,10,Active,8.13
200170,West,Residential,2023-01-08 01:00:00,5.34,9.49,0,Active,5.46
200171,Central,Residential,2023-01-08 02:00:00,7.31,8.5,5,Active,6.62
200172,East,Industrial,2023-01-08 03:00:00,4.27,11.71,5,Active,9.23
200173,West,Residential,2023-01-08 04:00:00,6.95,4.96,15,Active,9.04
200174,North,Residential,2023-01-08 05:00:00,17.71,3.97,0,Active,7.54
200175,South,Commercial,2023-01-08 06:00:00,15.6,11.1,0,Active,9.32
200176,West,Industrial,2023-01-08 07:00:00,14.24,4.5,0,Active,10.32
200177,South,Industrial,2023-01-08 08:00:00,13.23,3.21,60,Active,6.93
200178,West,Residential,2023-01-08 09:00:00,21.93,9.37,0,Active,10.44
200179,East,Residential,2023-01-08 10:00:00,15.33,7.46,10,Active,9.4
200180,Central,Residential,2023-01-08 11:00:00,14.0,9.41,0,Active,6.15
200181,West,Residential,2023-01-08 12:00:00,19.34,10.05,10,Active,4.51
200182,South,Commercial,2023-01-08 13:00:00,23.27,11.08,5,Active,5.56
200183,North,Residential,2023-01-08 14:00:00,7.17,6.9,5,Active,5.3
200184,Central,Residential,2023-01-08 15:00:00,9.53,11.87,0,Active,8.32
200185,West,Commercial,2023-01-08 16:00:00,10.63,4.29,0,Active,8.6
200186,North,Residential,2023-01-08 17:00:00,11.68,6.97,10,Active,9.73
200187,North,Residential,2023-01-08 18:00:00,38.8,1.41,0,Active,7.65
200188,West,Residential,2023-01-08 19:00:00,17.05,3.58,5,Active,10.14
200189,South,Industrial,2023-01-08 20:00:00,28.28,3.71,30,Active,9.19
200190,North,Commercial,2023-01-08 21:00:00,11.92,3.38,60,Active,8.78
200191,Central,Commercial,2023-01-08 22:00:00,6.16,9.63,0,Active,8.66
200192,North,Residential,2023-01-08 23:00:00,12.41,9.88,0,Active,4.75
200193,East,Industrial,2023-01-09 00:00:00,30.07,6.63,0,Active,9.68
200194,North,Residential,2023-01-09 01:00:00,8.61,6.49,0,Active,10.28
200195,South,Commercial,2023-01-09 02:00:00,18.52,6.29,10,Active,5.27
200196,East,Residential,2023-01-09 03:00:00,17.69,5.76,0,Active,8.91
200197,Central,Industrial,2023-01-09 04:00:00,6.68,11.39,0,Active,6.44
200198,North,Residential,2023-01-09 05:00:00,25.16,2.76,30,Active,7.01
200199,North,Residential,2023-01-09 06:00:00,19.42,7.2,0,Active,5.05
200200,West,Industrial,2023-01-09 07:00:00,13.02,8.19,0,Active,10.31
200201,West,Residential,2023-01-09 08:00:00,32.77,11.31,60,Active,5.15
200202,East,Residential,2023-01-09 09:00:00,5.42,2.36,0,Active,8.14
200203,South,Residential,2023-01-09 10:00:00,9.47,7.56,15,Active,5.24
200204,Central,Residential,2023-01-09 11:00:00,6.43,4.41,0,Active,7.32
200205,West,Commercial,2023-01-09 12:00:00,13.31,9.75,0,Active,4.59
200206,North,Residential,2023-01-09 13:00:00,13.54,7.7,0,Active,9.47
200207,West,Residential,2023-01-09 14:00:00,17.55,1.95,10,Active,7.91
200208,Central,Commercial,2023-01-09 15:00:00,23.2,9.87,0,Active,7.7
200209,Central,Residential,2023-01-09 16:00:00,15.42,6.55,0,Active,7.69
200210,North,Commercial,2023-01-09 17:00:00,21.89,10.2,0,Active,8.7
200211,East,Residential,2023-01-09 18:00:00,14.2,3.89,60,Active,8.82
200212,South,Commercial,2023-01-09 19:00:00,7.67,2.45,5,Active,9.0
200213,North,Residential,2023-01-09 20:00:00,19.06,2.88,10,Active,5.16
200214,East,Commercial,2023-01-09 21:00:00,13.7,5.6,60,Active,5.41
200215,South,Residential,2023-01-09 22:00:00,20.94,1.77,0,Active,6.61
200216,Central,Industrial,2023-01-09 23:00:00,11.48,9.25,0,Active,8.18
200217,North,Industrial,2023-01-10 00:00:00,13.96,10.58,0,Active,7.21
200218,South,Industrial,2023-01-10 01:00:00,22.38,1.41,10,Active,8.31
200219,East,Commercial,2023-01-10 02:00:00,14.89,4.13,5,Active,10.24
200220,East,Commercial,2023-01-10 03:00:00,23.95,11.64,60,Active,9.49
200221,West,Residential,2023-01-10 04:00:00,11.86,5.66,0,Active,4.62
200222,East,Residential,2023-01-10 05:00:00,10.69,6.28,0,Active,6.21
200223,South,Residential,2023-01-10 06:00:00,16.14,2.77,60,Active,6.88
200224,West,Residential,2023-01-10 07:00:00,24.12,8.48,30,Active,6.88
200225,East,Commercial,2023-01-10 08:00:00,11.45,9.4,15,Active,7.11
200226,West,Industrial,2023-01-10 09:00:00,6.5,4.12,15,Active,9.95
200227,North,Industrial,2023-01-10 10:00:00,22.83,9.06,60,Active,10.49
200228,South,Residential,2023-01-10 11:00:00,10.59,4.13,5,Active,4.98
200229,Central,Residential,2023-01-10 12:00:00,8.13,4.32,15,Active,7.52
200230,Central,Commercial,2023-01-10 13:00:00,16.16,6.31,15,Active,4.6
200231,North,Residential,2023-01-10 14:00:00,24.31,1.28,0,Active,8.18
200232,West,Commercial,2023-01-10 15:00:00,15.29,9.29,5,Active,8.86
200233,East,Industrial,2023-01-10 16:00:00,29.58,2.0,15,Active,7.53
200234,South,Commercial,2023-01-10 17:00:00,8.73,4.79,0,Active,8.78
200235,North,Industrial,2023-01-10 18:00:00,7.36,1.44,5,Active,8.11
200236,West,Residential,2023-01-10 19:00:00,18.19,8.27,0,Active,9.54
200237,South,Industrial,2023-01-10 20:00:00,16.6,10.88,15,Active,6.83
200238,North,Residential,2023-01-10 21:00:00,43.61,8.4,0,Active,8.86
200239,Central,Residential,2023-01-10 22:00:00,17.74,10.42,60,Active,7.76
200240,West,Industrial,2023-01-10 23:00:00,17.9,6.91,0,Active,7.62
200241,West,Residential,2023-01-11 00:00:00,9.58,11.14,10,Active,5.08
200242,West,Commercial,2023-01-11 01:00:00,9.47,1.32,15,Active,9.7
200243,West,Residential,2023-01-11 02:00:00,45.84,6.24,0,Active,10.36
200244,East,Residential,2023-01-11 03:00:00,17.2,2.29,0,Active,6.75
200245,South,Industrial,2023-01-11 04:00:00,7.76,10.17,15,Active,7.52
200246,Central,Industrial,2023-01-11 05:00:00,17.42,10.24,0,Active,5.15
200247,North,Commercial,2023-01-11 06:00:00,21.81,6.04,0,Active,5.54
200248,Central,Residential,2023-01-11 07:00:00,12.37,9.09,30,Active,9.77
200249,South,Residential,2023-01-11 08:00:00,12.97,5.7,0,Active,5.25
200250,Central,Residential,2023-01-11 09:00:00,13.03,11.23,0,Active,5.64
200251,North,Industrial,2023-01-11 10:00:00,13.2,2.85,15,Active,10.5
200252,Central,Industrial,2023-01-11 11:00:00,8.11,6.64,0,Active,5.81
200253,West,Residential,2023-01-11 12:00:00,1.86,1.48,0,Active,7.42
200254,Central,Commercial,2023-01-11 13:00:00,15.96,6.58,0,Active,10.03
200255,West,Residential,2023-01-11 14:00:00,8.3,6.15,0,Active,9.29
200256,North,Residential,2023-01-11 15:00:00,25.72,7.84,0,Active,8.0
200257,East,Residential,2023-01-11 16:00:00,11.66,9.09,0,Active,9.09
200258,East,Residential,2023-01-11 17:00:00,12.0,7.6,0,Active,6.96
200259,North,Residential,2023-01-11 18:00:00,18.64,3.88,0,Active,6.42
200260,West,Residential,2023-01-11 19:00:00,6.22,9.43,10,Active,6.85
200261,North,Residential,2023-01-11 20:00:00,8.01,9.31,0,Active,5.32
200262,South,Residential,2023-01-11 21:00:00,17.84,5.43,0,Active,6.22
200263,West,Residential,2023-01-11 22:00:00,30.09,6.67,0,Active,9.03
200264,Central,Industrial,2023-01-11 23:00:00,23.83,2.73,60,Active,7.42
200265,South,Industrial,2023-01-12 00:00:00,16.52,1.35,0,Active,6.54
200266,South,Commercial,2023-01-12 01:00:00,41.58,11.56,0,Active,6.87
200267,East,Residential,2023-01-12 02:00:00,10.96,5.0,0,Active,8.49
200268,West,Residential,2023-01-12 03:00:00,19.82,7.59,0,Active,7.82
200269,North,Residential,2023-01-12 04:00:00,19.99,10.21,10,Active,7.37
200270,East,Residential,2023-01-12 05:00:00,13.87,11.94,0,Active,5.64
200271,West,Industrial,2023-01-12 06:00:00,16.81,3.71,0,Active,4.8
200272,North,Commercial,2023-01-12 07:00:00,14.68,4.16,15,Active,4.5
200273,West,Commercial,2023-01-12 08:00:00,16.3,9.8,0,Active,6.54
200274,South,Residential,2023-01-12 09:00:00,16.34,3.21,15,Active,7.59
200275,Central,Residential,2023-01-12 10:00:00,14.33,9.54,60,Active,8.95
200276,East,Residential,2023-01-12 11:00:00,15.3,1.27,0,Active,9.6
200277,East,Commercial,2023-01-12 12:00:00,13.9,4.43,30,Active,10.38
200278,West,Commercial,2023-01-12 13:00:00,8.98,3.37,60,Active,8.52
200279,North,Commercial,2023-01-12 14:00:00,12.77,8.68,10,Active,9.49
200280,East,Residential,2023-01-12 15:00:00,4.85,8.89,60,Faulty,5.35
200281,East,Residential,2023-01-12 16:00:00,10.93,2.68,30,Active,7.34
200282,Central,Commercial,2023-01-12 17:00:00,17.59,4.91,15,Active,6.42
200283,East,Commercial,2023-01-12 18:00:00,17.47,11.78,10,Active,5.28
200284,South,Industrial,2023-01-12 19:00:00,18.38,1.86,0,Active,8.2
200285,South,Residential,2023-01-12 20:00:00,14.07,7.27,0,Active,8.82
200286,North,Residential,2023-01-12 21:00:00,18.35,3.02,0,Active,4.57
200287,West,Commercial,2023-01-12 22:00:00,13.46,11.43,5,Active,9.05
200288,Central,Residential,2023-01-12 23:00:00,6.66,6.51,30,Active,5.56
200289,Central,Residential,2023-01-13 00:00:00,22.89,9.13,30,Active,10.31
200290,East,Commercial,2023-01-13 01:00:00,36.63,11.87,0,Active,5.91
200291,East,Commercial,2023-01-13 02:00:00,16.0,10.95,15,Active,7.93
200292,South,Residential,2023-01-13 03:00:00,22.08,9.41,10,Active,8.05
200293,Central,Residential,2023-01-13 04:00:00,7.72,7.57,5,Active,8.14
200294,North,Residential,2023-01-13 05:00:00,20.83,3.97,10,Active,9.37
200295,North,Commercial,2023-01-13 06:00:00,9.53,7.31,10,Active,5.44
200296,North,Industrial,2023-01-13 07:00:00,8.18,5.48,15,Active,7.0
200297,West,Residential,2023-01-13 08:00:00,22.95,5.64,0,Faulty,5.57
200298,South,Residential,2023-01-13 09:00:00,8.34,3.47,60,Active,7.28
200299,Central,Commercial,2023-01-13 10:00:00,10.58,4.37,60,Active,6.49
200300,East,Commercial,2023-01-13 11:00:00,7.47,11.94,10,Active,4.99
200301,West,Residential,2023-01-13 12:00:00,27.56,8.47,60,Faulty,4.91
200302,North,Residential,2023-01-13 13:00:00,18.26,4.69,0,Active,9.01
200303,Central,Residential,2023-01-13 14:00:00,14.18,11.32,60,Active,5.75
200304,South,Residential,2023-01-13 15:00:00,43.83,5.44,0,Active,4.84
200305,East,Residential,2023-01-13 16:00:00,5.85,7.93,60,Active,10.28
200306,South,Residential,2023-01-13 17:00:00,13.48,1.09,0,Active,5.32
200307,North,Residential,2023-01-13 18:00:00,15.81,3.14,15,Active,4.98
200308,South,Industrial,2023-01-13 19:00:00,37.7,8.27,5,Active,5.65
200309,East,Commercial,2023-01-13 20:00:00,15.38,3.88,0,Active,9.49
200310,East,Residential,2023-01-13 21:00:00,30.03,4.74,15,Active,9.3
200311,East,Commercial,2023-01-13 22:00:00,16.07,8.95,30,Active,6.4
200312,Central,Residential,2023-01-13 23:00:00,26.78,3.22,0,Active,6.79
200313,West,Residential,2023-01-14 00:00:00,24.52,10.48,0,Active,6.15
200314,Central,Residential,2023-01-14 01:00:00,14.19,9.22,15,Faulty,7.61
200315,North,Commercial,2023-01-14 02:00:00,12.29,11.41,0,Active,10.36
200316,Central,Industrial,2023-01-14 03:00:00,38.7,10.7,15,Active,4.98
200317,West,Residential,2023-01-14 04:00:00,24.15,3.96,10,Active,6.17
200318,South,Residential,2023-01-14 05:00:00,35.23,4.23,0,Active,6.61
200319,North,Residential,2023-01-14 06:00:00,5.5,7.55,0,Active,4.71
200320,Central,Residential,2023-01-14 07:00:00,13.04,10.41,0,Active,8.51
200321,North,Residential,2023-01-14 08:00:00,9.18,2.68,0,Active,9.95
200322,Central,Residential,2023-01-14 09:00:00,16.87,10.33,60,Active,8.08
200323,Central,Residential,2023-01-14 10:00:00,8.07,9.93,60,Active,5.44
200324,West,Industrial,2023-01-14 11:00:00,20.96,8.05,0,Faulty,5.22
200325,East,Industrial,2023-01-14 12:00:00,17.84,3.47,30,Active,9.8
200326,South,Residential,2023-01-14 13:00:00,10.2,11.34,0,Active,6.02
200327,West,Residential,2023-01-14 14:00:00,10.89,2.34,15,Active,9.14
200328,West,Industrial,2023-01-14 15:00:00,13.97,3.95,0,Active,8.71
200329,South,Commercial,2023-01-14 16:00:00,23.59,5.83,0,Active,5.77
200330,South,Industrial,2023-01-14 17:00:00,3.07,3.48,0,Active,10.21
200331,South,Residential,2023-01-14 18:00:00,17.94,4.75,60,Active,7.32
200332,West,Residential,2023-01-14 19:00:00,16.81,5.32,10,Active,7.05
200333,North,Residential,2023-01-14 20:00:00,13.54,8.84,0,Active,4.88
200334,West,Residential,2023-01-14 21:00:00,28.35,11.96,30,Active,5.89
200335,Central,Commercial,2023-01-14 22:00:00,21.52,10.52,60,Active,8.75
200336,West,Residential,2023-01-14 23:00:00,4.47,10.13,15,Active,8.54
200337,East,Residential,2023-01-15 00:00:00,8.82,3.66,5,Active,4.55
200338,East,Commercial,2023-01-15 01:00:00,5.78,6.54,0,Active,6.02
200339,Central,Commercial,2023-01-15 02:00:00,27.32,4.37,5,Active,7.19
200340,West,Residential,2023-01-15 03:00:00,18.32,2.94,30,Active,6.05
200341,East,Residential,2023-01-15 04:00:00,14.91,6.97,15,Active,5.04
200342,Central,Residential,2023-01-15 05:00:00,14.26,8.5,10,Active,6.14
200343,West,Commercial,2023-01-15 06:00:00,12.39,6.06,5,Active,9.3
200344,South,Residential,2023-01-15 07:00:00,11.79,10.93,0,Active,9.08
200345,North,Industrial,2023-01-15 08:00:00,30.51,7.86,0,Active,8.53
200346,East,Commercial,2023-01-15 09:00:00,25.19,5.73,30,Active,8.06
200347,Central,Residential,2023-01-15 10:00:00,20.97,10.53,30,Active,10.46
200348,Central,Commercial,2023-01-15 11:00:00,20.94,9.94,60,Active,5.31
200349,North,Residential,2023-01-15 12:00:00,22.67,5.43,5,Active,8.32
200350,South,Residential,2023-01-15 13:00:00,21.53,10.94,0,Active,8.88
